order,i,indrep,avg,author_last,finit_1,finit_2,finit_abv,co_author,sinit_1,sinit_2,sinit_abv,journal,journal_isi,year_pub,study,study_num,subject,latitude,longitude,habitat,loc,trt_taxa,rsp_taxa,trt_taxa_less,rsp_taxa_less,sp1_taxname,sp1_type,sp2_taxname,sp2_type,data_from,data_type,data_var,type_cond,thirdparty_type,condition,duration_d,sep_con,exp_x,exp_n,exp_se,exp_sd,con_x,con_n,con_se,con_sd,data_coll,exclude
1,1,a,1,Devall,margaret,s,ms,Thein,leonard,b,lb,American Journal of Botany,am_j_bot,1989,DeTh89Am,108,m,29.383,-90.267,t,field,ti,tp,i,p,Ipomoea pes-caprae,plant,various ants,ants,table 4,fecundity,mean number seeds per fruit,spatial,na,United States-Grand Isle,,1,4.5,13,1.4,5.047771786,6.3,13,1.6,5.768882041,scott,0
2,1,a,2,Devall,margaret,s,ms,Thein,leonard,b,lb,American Journal of Botany,am_j_bot,1989,DeTh89Am,108,m,26.067,-97.2167,t,field,ti,tp,i,p,Ipomoea pes-caprae,plant,various ants,ants,table 4,fecundity,mean number seeds per fruit,spatial,na,United States-South Padre,,1,2.4,53,0.5,3.640054945,3.2,49,0.5,3.5,scott,0
3,1,a,3,Devall,margaret,s,ms,Thein,leonard,b,lb,American Journal of Botany,am_j_bot,1989,DeTh89Am,108,m,21.283,-89.6,t,field,ti,tp,i,p,Ipomoea pes-caprae,plant,various ants,ants,table 4,fecundity,mean number seeds per fruit,spatial,na,"Mexico, Yucatan-Progreso",,1,1.1,7,0.7,1.852025918,3.6,11,0.7,2.321637353,scott,0
4,1,a,4,Devall,margaret,s,ms,Thein,leonard,b,lb,American Journal of Botany,am_j_bot,1989,DeTh89Am,108,m,21.283,-89.6,t,field,ti,tp,i,p,Ipomoea pes-caprae,plant,various ants,ants,table 4,fecundity,mean number seeds per fruit,spatial,na,"Mexico, Yucatan-Uaymitun ""1""",,1,0.5,28,0.2,1.058300524,1.4,30,0.4,2.19089023,scott,0
5,1,a,5,Devall,margaret,s,ms,Thein,leonard,b,lb,American Journal of Botany,am_j_bot,1989,DeTh89Am,108,m,21.283,-89.6,t,field,ti,tp,i,p,Ipomoea pes-caprae,plant,various ants,ants,table 4,fecundity,mean number seeds per fruit,spatial,na,"Mexico, Yucatan-Uaymitun ""2""",,1,0.7,38,0.3,1.849324201,0.7,37,0.3,1.824828759,scott,0
6,1,a,6,Devall,margaret,s,ms,Thein,leonard,b,lb,American Journal of Botany,am_j_bot,1989,DeTh89Am,108,m,21.283,-89.6,t,field,ti,tp,i,p,Ipomoea pes-caprae,plant,various ants,ants,table 4,fecundity,mean number seeds per fruit,spatial,na,"Mexico, Yucatan-San Bruno ""1""",,1,0.8,15,0.4,1.549193338,4.3,9,1.4,4.2,scott,0
7,1,a,7,Devall,margaret,s,ms,Thein,leonard,b,lb,American Journal of Botany,am_j_bot,1989,DeTh89Am,108,m,21.283,-89.6,t,field,ti,tp,i,p,Ipomoea pes-caprae,plant,various ants,ants,table 4,fecundity,mean number seeds per fruit,spatial,na,"Mexico, Yucatan-San Bruno ""2""",,1,4.5,31,1.4,7.794870108,6.3,29,1.6,8.616263691,scott,0
8,1,b,8,Rico-Gray,victor,,v,Castro,gerardo,,g,Southwestern Naturalist,southwest_nat,1996,RiCa96So,369,m,19.6,-96.367,t,field,ti,tp,i,p,Paullinia fuscecens,plant,various ants,ants,table 2,fecundity,mean number of seeds per inflorescence,temporal,na,1990,1095,1,12.01,344,0.52,9.644563235,4.79,344,0.34,6.306060577,scott,1
9,1,b,9,Rico-Gray,victor,,v,Castro,gerardo,,g,Southwestern Naturalist,southwest_nat,1996,RiCa96So,369,m,19.6,-96.367,t,field,ti,tp,i,p,Paullinia fuscecens,plant,various ants,ants,table 2,fecundity,mean number of seeds per inflorescence,temporal,na,1991,1095,1,3.08,344,0.26,4.822281618,2.99,344,0.21,3.894919768,scott,1
10,1,b,10,Rico-Gray,victor,,v,Castro,gerardo,,g,Southwestern Naturalist,southwest_nat,1996,RiCa96So,369,m,19.6,-96.367,t,field,ti,tp,i,p,Paullinia fuscecens,plant,various ants,ants,table 2,fecundity,mean number of seeds per inflorescence,temporal,na,1993,1095,1,5.55,344,0.31,5.749643467,2.98,344,0.18,3.338502658,scott,1
