"name_to_use","duplicates"
"adamhsparks","Adam H Sparks,Adam H. Sparks,adamhsparks"
"ateucher","Andy Teucher,ateucher"
"anyab","AnyaB,anyab"
"barryrowlingson","Barry Rowlingson,barryrowlingson"
"bendmorris","Ben Morris,bendmorris"
"blasee","Blake Seers,blasee"
"cpsievert","cpsievert,Carson Sievert,Carson"
"cboettig","Carl Boettiger,cboettig"
"ChrisMuir","Chris Muir,ChrisMuir"
"davharris","davharris,David J. Harris"
"EDiLD","EDiLD,Eduard Szöcs"
"guangchun","guangchuang yu,Guangchuang Yu,GuangchuangYu,guangchun"
"hilaryparker","Hilary,Hilary Parker"
"ironholds","Oliver Keyes,ironholds"
"jhollist","Jeff Hollister,Jeff W. Hollister,Jeffrey W. Hollister"
"jennybc","Jenny Bryan,jennybc"
"jeroen","Jeroen,Jeroen Ooms,Ooms"
"johndharrison","John Harrison,johndharrison"
"josephwb","Joseph W. Brown,josephwb"
"karthik","Karthik Ram,karthik"
"leeper","Thomas J. Leeper,leeper"
"maelle","Maëlle Salmon,masalmon"
"mpadge","mark padgham,mpadge"
"mbjones","Matt Jones,mbjones"
"mwpennell","Matt Pennell,matthew pennell,mwpennell"
"noamross","Noam Ross,noamross"
"robinlovelace","Robin Lovelace,Robinlovelace,robinlovelace"
"rvosa","Rutger Vos,rvosa"
"SaraVarela","Sara Varela,Sara_Varela"
"saulwiggin","Saul Joseph Wiggin,saul wiggin"
"sckott","schamberlain,sckott,Scott Chamberlain"
"sebpardo","Sebastian Pardo,sebpardo"
"SimonGoring","Simon Goring,SimonGoring"
"SriramRamesh","Sriram Ramesh,SriramRamesh"
"steffilazerte","Stefanie LaZerte,steffilazerte"
"taddallas","Tad Dallas,taddallas"
"emhart","Ted Hart,Edmund Hart,emhart"
"tpoisot","Tim Poisot,Timothée Poisot"
"VijayBarve","Vijay Barve,VijayBarve"
"wlandau","Will Landau,wlandau,wlandau-lilly"
"xsaintmleux","Xavier Saint-Mleux,xsaintmleux"
"zachary-foster","Zachary Foster,Zachary S.L Foster,zachary-foster"
